"Country","Count.Var1","Count.Freq","CharacterCode","Code"
"FILIPINENE","filipinene",1,"",0
"FILIPINENE","Filipinene",1,"",0
"FILIPPINENE","Filippinene",3,"",0
"FINLAND","Finland",4,"",0
"FORETREKKER IKKE Å SVARE","foretrekker ikke å svare",1,"",0
"FRANCE","france",1,"",0
"FRANCE","France",7,"",0
"FRANCE","FRANCE",1,"",0
"FRANCIA","Francia",1,"",0
"FRANKRIKE","Frankrike",1,"",0
"GERMANY","germany",1,"",0
"GERMANY","Germany",9,"",0
"GERMANY (MILITARY)","Germany (military)",1,"",0
"GERMANY (PARENT ACTIVE DUTY MILITARY)","Germany (parent active duty military)",1,"",0
"GHANA","ghana",1,"",0
"GHANA","Ghana",5,"",0
"GUATEMALA","Guatemala",4,"",0
"GUYANA","Guyana",1,"",0
"HAITI","Haiti",2,"",0
"HELLAS","Hellas",1,"",0
"HK","hk",1,"",0
"HONG KONG","hong kong",3,"",0
"HONG KONG","Hong Kong",21,"",0
"HONG KONG","HONG KONG",1,"",0
"HONG KONG, CHINA","Hong Kong, China",1,"",0
"HUNGARY","Hungary",1,"",0
"INDIA","india",5,"",0
"INDIA","India",58,"",0
"INDIA","INDIA",1,"",0
"INDIAN","Indian",1,"",0
"INDONESIA","Indonesia",3,"",0
"IRAN","Iran",5,"",0
"IRAQ","Iraq",4,"",0
"IRELAND","ireland",1,"",0
"IRELAND","Ireland",2,"",0
"ISLAND","Island",1,"",0
"ISRAEL","Israel",2,"",0
"ITALIA","Italia",1,"",0
"ITALY","italy",3,"",0
"ITALY","Italy",8,"",0
"JAMAICA","Jamaica",1,"",0
"JAPAN","japan",1,"",0
"JAPAN","Japan",5,"",0
"JORDAN","Jordan",1,"",0
"KAZAKHSTAN","Kazakhstan",1,"",0
"KENYA","Kenya",2,"",0
"KIINA","Kiina",1,"",0
"KINA","Kina",1,"",0
"KOREA","korea",1,"",0
"KOREA","Korea",5,"",0
"KOSOVO","Kosovo",1,"",0
"KSA","KSA",1,"",0
"LATVIA","Latvia",7,"",0
"LEBANON","Lebanon",1,"",0
"LIBAN","Liban",1,"",0
"LITAUEN","Litauen",2,"",0
"LITHUANIA","Lithuania",2,"",0
"MACEDONIA","Macedonia",1,"",0
"MALAYSIA","malaysia",1,"",0
"MALAYSIA","Malaysia",5,"",0
"MALAYSIA","MALAYSIA",1,"",0
"MALTA","Malta",2,"",0
"MAURITIUS","Mauritius",2,"",0
"MEXICO","Mexico",3,"",0
"MEXICO","MEXICO",1,"",0
"MOROCCO","Morocco",1,"",0
"NEDERLAND","nederland",2,"",0
"NEDERLAND","Nederland",4,"",0
"NEPAL","nepal",1,"",0
"NEPAL","Nepal",10,"",0
"NETHERLANDS","Netherlands",5,"",0
"NEUVOSTOLIITTO","Neuvostoliitto",1,"",0
"NEW ZEALAND","new zealand",2,"",0
"NEW ZEALAND","New zealand",3,"",0
"NEW ZEALAND","New Zealand",16,"",0
"NIGERIA","nigeria",1,"",0
"NIGERIA","Nigeria",16,"",0
"PAKISTAN","pakistan",2,"",0
"PAKISTAN","Pakistan",22,"",0
"PAKOSTAN","Pakostan",1,"",0
"PALESTINE","Palestine",1,"",0
"PAPUA NEW GUINEA","Papua New Guinea",1,"",0
"PARAGUAY","paraguay",1,"",0
"PARAGUAY","Paraguay",5,"",0
"PAYS-BAS","Pays-Bas",1,"",0
"PÉROU","Pérou",1,"",0
"PERU","peru",1,"",0
"PERU","Peru",3,"",0
"PERU","PERU",1,"",0
"PERÚ","Perú",1,"",0
"PHILIPPINES","philippines",1,"",0
"PHILIPPINES","Philippines",30,"",0
"PHILIPPINES","PHILIPPINES",2,"",0
"POLAND","poland",1,"",0
"POLAND","Poland",11,"",0
"POLAND","POLAND",1,"",0
"POLEN","Polen",8,"",0
"POLSKA","Polska",2,"",0
"PORTUGAL","portugal",1,"",0
"PORTUGAL","Portugal",3,"",0
"PORTUGAL","PORTUGAL",1,"",0
"PUOLA","Puola",1,"",0
"ROMANIA","romania",2,"",0
"ROMANIA","Romania",4,"",0
"ROUMANIE","Roumanie",1,"",0
"ROYAUME-UNI","Royaume-Uni",1,"",0
"RUOTSI","Ruotsi",8,"",0
"RUOTSISSA","ruotsissa",1,"",0
"RUOTSISSA","Ruotsissa",3,"",0
"RUSSIA","Russia",9,"",0
"RUSSLAND","Russland",8,"",0
"SAUDI ARABIA","Saudi Arabia",1,"",0
"SCOTLAND","scotland",1,"",0
"SCOTLAND","Scotland",4,"",0
"SENEGAL","senegal",1,"",0
"SERBIA","Serbia",3,"",0
"SERBIA","SERBIA",1,"",0
"SIERRA LEONE","Sierra Leone",1,"",0
"SINGAPORE","singapore",3,"",0
"SINGAPORE","Singapore",5,"",0
"SINGAPORE","SINGAPORE",1,"",0
"SLOVAKIA","Slovakia",1,"",0
"SLOVAKIA","SLOVAKIA",1,"",0
"SLOVENIA","Slovenia",1,"",0
"SOLEIL ULTRA CIBLE","Soleil ultra cible",1,"",0
"SOMALIA","Somalia",1,"",0
"SØR KOREA","Sør Korea",1,"",0
"SØR-AFRIKA","Sør-Afrika",1,"",0
"SOUTH AFRICA","south africa",1,"",0
"SOUTH AFRICA","South africa",2,"",0
"SOUTH AFRICA","South Africa",9,"",0
"SOUTH KOREA","South korea",1,"",0
"SOUTH KOREA","South Korea",1,"",0
"SPANIA","Spania",1,"",0
"SRI LANKA","Sri Lanka",5,"",0
"SRI LNAKA","Sri lnaka",1,"",0
"SRILANKA","Srilanka",1,"",0
"SRILANKA","SriLanka",1,"",0
"STORBRITANNIA","Storbritannia",1,"",0
"STORBRITTANIA","Storbrittania",1,"",0
"SUOMI","suomi",1,"",0
"SVERIGE","sverige",1,"",0
"SVERIGE","Sverige",6,"",0
"SWAZILAND","Swaziland",1,"",0
"SWEDEN","sweden",1,"",0
"SWEDEN","Sweden",1,"",0
"SWITZERLAND","Switzerland",2,"",0
"SYRIA","Syria",1,"",0
"TAIWAN","taiwan",1,"",0
"TAIWAN","Taiwan",2,"",0
"TANZANIA","tanzania",1,"",0
"TANZANIA","Tanzania",5,"",0
"THAILAND","Thailand",2,"",0
"THE NETHERLANDS","The Netherlands",1,"",0
"THE PHILIPPINES","The Philippines",2,"",0
"TRINIDAD AND TOBAGO","Trinidad and Tobago",1,"",0
"TSJEKKIA","Tsjekkia",2,"",0
"TURKEY","Turkey",1,"",0
"TYRKIA","Tyrkia",3,"",0
"TYSKLAND","Tyskland",1,"",0
"UAE","uae",1,"",0
"UAE","UAE",1,"",0
"UGANDA","Uganda",3,"",0
"UK","uk",2,"",0
"UK","Uk",3,"",0
"UK","UK",2,"",0
"UKRAIN","Ukrain",1,"",0
"UKRAINA","Ukraina",1,"",0
"UKRAINASSA","Ukrainassa",1,"",0
"UKRAINE","Ukraine",8,"",0
"UNITED ARAB EMIRATES","United arab emirates",1,"",0
"UNITED KINGDOM","United Kingdom",11,"",0
"UNITED STATES","United States",1,"",0
"UNITED STATES","UNITED STATES",1,"",0
"UNITED STATES OF AMERICA","United States of America",1,"",0
"URUGUAY","Uruguay",3,"",0
"USA","usa",1,"",0
"USA","Usa",1,"",0
"USA","USA",11,"",0
"USSR","ussr",1,"",0
"USSR","USSR",1,"",0
"UZBEKISTAN","Uzbekistan",1,"",0
"VENÄJÄ","venäjä",1,"",0
"VENÄJÄ","Venäjä",3,"",0
"VENÄJÄ (INKERINMAA)","Venäjä (Inkerinmaa)",1,"",0
"VENÄJÄN KARJALASSA","Venäjän Karjalassa",1,"",0
"VENEZUELA","venezuela",2,"",0
"VENEZUELA","Venezuela",11,"",0
"VENEZUELA","VENEZUELA",2,"",0
"VIET NAM","Viet Nam",1,"",0
"VIETNAM","vietnam",2,"",0
"VIETNAM","Vietnam",6,"",0
"VIETNANM","Vietnanm",1,"",0
"VIL IKKE","Vil ikke",1,"",0
"VIRO","Viro",4,"",0
"WALES","Wales",1,"",0
"YHDYSVALLOISSA","Yhdysvalloissa",1,"",0
"ZAMBIA","Zambia",1,"",0
"ZIMBABWE","zimbabwe",3,"",0
"ZIMBABWE","Zimbabwe",4,"",0
